state,plan,age,profile,rank,carrier,monthly_rate,rate_type,household_discount,latest_increase_pct,latest_increase_date,state_low,state_high,state_spread,carriers_quoting,as_of
PA,G,65,F non-tobacco,1,"Physicians Mutual (PSIC)",122.39,attained age,yes,9,2025-10-01,122.39,295.51,173.12,28,2026-07-15
PA,G,65,F non-tobacco,2,"HealthSpring Ins Co",149.53,attained age,yes,19,2026-02-01,122.39,295.51,173.12,28,2026-07-15
PA,G,65,F non-tobacco,3,"Humana Insurance Company",155.54,attained age,yes,19.53,2025-11-01,122.39,295.51,173.12,28,2026-07-15
PA,G,65,F non-tobacco,4,"MedMutual Protect",167.17,attained age,no,16.52,2024-07-01,122.39,295.51,173.12,28,2026-07-15
PA,G,65,F non-tobacco,5,"Washington Natl Ins Co",168.06,attained age,no,11.5,2025-08-11,122.39,295.51,173.12,28,2026-07-15
PA,G,70,F non-tobacco,1,"Physicians Mutual (PSIC)",130.58,attained age,yes,9,2025-10-01,130.58,325.98,195.40,28,2026-07-15
PA,G,70,F non-tobacco,2,"HealthSpring Ins Co",154.05,attained age,yes,19,2026-02-01,130.58,325.98,195.40,28,2026-07-15
PA,G,70,F non-tobacco,3,"Humana Insurance Company",165.07,attained age,yes,19.53,2025-11-01,130.58,325.98,195.40,28,2026-07-15
PA,G,70,F non-tobacco,4,"Insurance Co of N Amer",175.89,attained age,no,,,130.58,325.98,195.40,28,2026-07-15
PA,G,70,F non-tobacco,5,"Medico Life and Health Ins Co",177.97,attained age,no,18.59,2025-09-01,130.58,325.98,195.40,28,2026-07-15
PA,G,75,F non-tobacco,1,"Physicians Mutual (PSIC)",149.32,attained age,yes,9,2025-10-01,149.32,390.14,240.82,28,2026-07-15
PA,G,75,F non-tobacco,2,"HealthSpring Ins Co",181.15,attained age,yes,19,2026-02-01,149.32,390.14,240.82,28,2026-07-15
PA,G,75,F non-tobacco,3,"Medico Life and Health Ins Co",189.80,attained age,no,18.59,2025-09-01,149.32,390.14,240.82,28,2026-07-15
PA,G,75,F non-tobacco,4,"Humana Insurance Company",195.15,attained age,yes,19.53,2025-11-01,149.32,390.14,240.82,28,2026-07-15
PA,G,75,F non-tobacco,5,"Insurance Co of N Amer",208.81,attained age,no,,,149.32,390.14,240.82,28,2026-07-15
PA,N,65,F non-tobacco,1,"HealthSpring Ins Co",99.11,attained age,yes,18.99,2026-02-01,99.11,228.18,129.07,28,2026-07-15
PA,N,65,F non-tobacco,2,"Humana Insurance Company",104.25,attained age,yes,9.52,2025-11-01,99.11,228.18,129.07,28,2026-07-15
PA,N,65,F non-tobacco,3,"Insurance Co of N Amer",114.51,attained age,no,,,99.11,228.18,129.07,28,2026-07-15
PA,N,65,F non-tobacco,4,"Washington Natl Ins Co",115.84,attained age,no,5.49,2025-08-11,99.11,228.18,129.07,28,2026-07-15
PA,N,65,F non-tobacco,5,"Nassau Life Insurance Company",121.27,attained age,no,7,2025-10-01,99.11,228.18,129.07,28,2026-07-15
PA,N,70,F non-tobacco,1,"HealthSpring Ins Co",112.09,attained age,yes,18.99,2026-02-01,112.09,269.00,156.91,28,2026-07-15
PA,N,70,F non-tobacco,2,"Insurance Co of N Amer",116.31,attained age,no,,,112.09,269.00,156.91,28,2026-07-15
PA,N,70,F non-tobacco,3,"Humana Insurance Company",117.30,attained age,yes,9.52,2025-11-01,112.09,269.00,156.91,28,2026-07-15
PA,N,70,F non-tobacco,4,"Medico Life and Health Ins Co",130.65,attained age,no,18.59,2025-09-01,112.09,269.00,156.91,28,2026-07-15
PA,N,70,F non-tobacco,5,"Nassau Life Insurance Company",133.54,attained age,no,7,2025-10-01,112.09,269.00,156.91,28,2026-07-15
