date	slug	slot	style	filename	size_kb	status
2026-03-18	free-medicare-advocate-near-me	hero	vector	hub_free-medicare-advocate-near-me_vector.webp	0	error: KIE create task failed: {"code":500,"msg":"aspect_ratio is not within the range of allowed options","data":null}
2026-03-18	free-medicare-advocate-near-me	hero	photo	hub_free-medicare-advocate-near-me_photo.webp	0	error: KIE create task failed: {"code":500,"msg":"aspect_ratio is not within the range of allowed options","data":null}
2026-03-18	free-medicare-advocate-near-me	hero	vector	hub_free-medicare-advocate-near-me_vector.webp	10.3	generated
2026-03-18	free-medicare-advocate-near-me	hero	photo	hub_free-medicare-advocate-near-me_photo.webp	39.5	generated
2026-03-18	medicare-agent-that-helps-with-paperwork-near-me	hero	vector	hub_medicare-agent-that-helps-with-paperwork-near-me_vector.webp	11.3	generated
2026-03-18	medicare-agent-that-helps-with-paperwork-near-me	hero	photo	hub_medicare-agent-that-helps-with-paperwork-near-me_photo.webp	25.8	generated
2026-03-18	medicare-enrollment-help-for-people-with-diabetes	hero	vector	hub_medicare-enrollment-help-for-people-with-diabetes_vector.webp	18.1	generated
2026-03-18	medicare-enrollment-help-for-people-with-diabetes	hero	photo	hub_medicare-enrollment-help-for-people-with-diabetes_photo.webp	32.0	generated
2026-03-18	medicare-enrollment-help-for-people-with-lupus	hero	vector	hub_medicare-enrollment-help-for-people-with-lupus_vector.webp	15.5	generated
2026-03-18	medicare-enrollment-help-for-people-with-lupus	hero	photo	hub_medicare-enrollment-help-for-people-with-lupus_photo.webp	25.6	generated
2026-03-18	best-medicare-insurance-brokers-near-me	hero	vector	hub_best-medicare-insurance-brokers-near-me_vector.webp	11.5	generated
2026-03-18	best-medicare-insurance-brokers-near-me	hero	photo	hub_best-medicare-insurance-brokers-near-me_photo.webp	45.5	generated
2026-03-18	independent-medicare-supplement-insurance-agents	hero	vector	hub_independent-medicare-supplement-insurance-agents_vector.webp	15.4	generated
2026-03-18	independent-medicare-supplement-insurance-agents	hero	photo	hub_independent-medicare-supplement-insurance-agents_photo.webp	25.7	generated
2026-03-18	independent-medicare-advantage-agents-near-me	hero	vector	hub_independent-medicare-advantage-agents-near-me_vector.webp	16.5	generated
2026-03-18	independent-medicare-advantage-agents-near-me	hero	photo	hub_independent-medicare-advantage-agents-near-me_photo.webp	40.4	generated
2026-03-18	independent-medicare-supplement-insurance-agents-near-me	hero	vector	hub_independent-medicare-supplement-insurance-agents-near-me_vector.webp	13.6	generated
2026-03-18	independent-medicare-supplement-insurance-agents-near-me	hero	photo	hub_independent-medicare-supplement-insurance-agents-near-me_photo.webp	47.2	generated
2026-03-18	medicare-brokers-in-my-area	hero	vector	hub_medicare-brokers-in-my-area_vector.webp	16.8	generated
2026-03-18	medicare-brokers-in-my-area	hero	photo	hub_medicare-brokers-in-my-area_photo.webp	31.9	generated
2026-03-18	medicare-advantage-agents-near-me	hero	vector	hub_medicare-advantage-agents-near-me_vector.webp	16.2	generated
2026-03-18	medicare-advantage-agents-near-me	hero	photo	hub_medicare-advantage-agents-near-me_photo.webp	33.8	generated
2026-03-18	best-and-cheapest-medicare-supplement	hero	vector	hub_best-and-cheapest-medicare-supplement_vector.webp	10.9	generated
2026-03-18	best-and-cheapest-medicare-supplement	hero	photo	hub_best-and-cheapest-medicare-supplement_photo.webp	32.4	generated
2026-03-18	best-medicare-plan-for-chronic-conditions	hero	vector	hub_best-medicare-plan-for-chronic-conditions_vector.webp	12.3	generated
2026-03-18	best-medicare-plan-for-chronic-conditions	hero	photo	hub_best-medicare-plan-for-chronic-conditions_photo.webp	39.6	generated
2026-03-18	free-medicare-agent-that-helps-with-paperwork	hero	vector	hub_free-medicare-agent-that-helps-with-paperwork_vector.webp	12.7	generated
2026-03-18	free-medicare-agent-that-helps-with-paperwork	hero	photo	hub_free-medicare-agent-that-helps-with-paperwork_photo.webp	29.6	generated
2026-03-18	medicare-supplement-for-seniors-turning-65	hero	vector	hub_medicare-supplement-for-seniors-turning-65_vector.webp	23.0	generated
2026-03-18	medicare-supplement-for-seniors-turning-65	hero	photo	hub_medicare-supplement-for-seniors-turning-65_photo.webp	37.3	generated
2026-03-18	medicare-broker-for-people-with-parkinsons	hero	vector	hub_medicare-broker-for-people-with-parkinsons_vector.webp	8.8	generated
2026-03-18	medicare-broker-for-people-with-parkinsons	hero	photo	hub_medicare-broker-for-people-with-parkinsons_photo.webp	30.2	generated
2026-03-18	medicare-supplement-rate-jumped-why-and-what-can-i-do	hero	vector	hub_medicare-supplement-rate-jumped-why-and-what-can-i-do_vector.webp	10.4	generated
2026-03-18	medicare-supplement-rate-jumped-why-and-what-can-i-do	hero	photo	hub_medicare-supplement-rate-jumped-why-and-what-can-i-do_photo.webp	33.1	generated
2026-03-18	how-to-enroll-in-medicare-in-new-jersey	hero	vector	hub_how-to-enroll-in-medicare-in-new-jersey_vector.webp	16.3	generated
2026-03-18	how-to-enroll-in-medicare-in-new-jersey	hero	photo	hub_how-to-enroll-in-medicare-in-new-jersey_photo.webp	31.4	generated
2026-03-18	what-time-of-year-can-you-switch-medicare-supplement-plans	hero	vector	hub_what-time-of-year-can-you-switch-medicare-supplement-plans_vector.webp	19.5	generated
2026-03-18	what-time-of-year-can-you-switch-medicare-supplement-plans	hero	photo	hub_what-time-of-year-can-you-switch-medicare-supplement-plans_photo.webp	41.0	generated
