date	page	impressions	clicks	ctr	position	change_type	new_value	status
2026-07-13	/	100	0	0.0000	39.4	title	NJ Medicare Broker 2026 | Independent Advisor, 35 States	pending
2026-07-13	/	100	0	0.0000	39.4	description	Compare 2026 Medicare Advantage & Medigap plans with an independent NJ broker. Free, no-pressure guidance from a licensed advisor. Get your quote today.	pending
2026-07-13	/	100	0	0.0000	39.4	h1	Independent Medicare Broker in New Jersey — Compare 2026 Plans Free	pending
2026-07-13	/	100	0	0.0000	39.4	faq	How do I find the best Medicare broker in New Jersey?	pending
2026-07-13	/	100	0	0.0000	39.4	faq	How much does Medicare cost in 2026?	pending
2026-07-13	/	100	0	0.0000	39.4	faq	What's the difference between Medicare Advantage and Medigap in NJ?	pending
2026-07-13	/about	15	0	0.0000	6.0	title	About Our Licensed Medicare Broker | NJ + 34 States 2026	pending
2026-07-13	/about	15	0	0.0000	6.0	description	Meet Anthony Orner, an independent Medicare broker in NJ serving 34 states. Free, unbiased Medigap & Advantage plan comparisons. Get expert help today.	pending
2026-07-13	/about	15	0	0.0000	6.0	h1	Meet Your Independent Medicare Broker Serving NJ and 34 States	pending
2026-07-13	/about	15	0	0.0000	6.0	faq	What does an independent Medicare broker do?	pending
2026-07-13	/about	15	0	0.0000	6.0	faq	Does it cost more to use a Medicare broker?	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	title	Best Medicare Advantage Plans in NJ 2026 | Compare	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	description	Compare 2026 New Jersey Medicare Advantage plans with $0 premium options, drug, dental, and vision benefits. See top-rated NJ plans by county today.	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	h1	Best Medicare Advantage Plans in New Jersey for 2026	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	faq	What are the best Medicare Advantage plans in NJ for 2026?	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	faq	How much does Medicare Advantage cost in New Jersey in 2026?	pending
2026-07-13	/medicare-advantage/new-jersey	1316	0	0.0000	51.9	faq	When can I enroll in a Medicare Advantage plan in New Jersey?	pending
