date	url	title	meta_desc_length	h1	h2_count	word_count	crawl_depth	internal_links	issues
2026-03-14	/	MedicareYourself | Independent Medicare Insurance Broker	169	Medicare Made Simple. Free, Unbiased Guidance.	2	158	0	3	Meta desc too long (>158); Word count below 350
2026-03-14	/about	About MedicareYourself | Licensed Independent Medicare Broker	165	About MedicareYourself	5	110	1	0	Title too long (>60); Meta desc too long (>158); Word count below 350; No internal links; Orphan page (no incoming internal links)
2026-03-14	/hub	Medicare Guides & Resources | MedicareYourself	160	Medicare Guides and Resources	2	126	1	5	Meta desc too long (>158); Word count below 350; Missing PhoneCTA; Orphan page (no incoming internal links)
2026-03-14	/learn/how-to-sign-up-for-medicare	How and When to Sign Up for Medicare (2026 Guide)	169	How and When to Sign Up for Medicare (2026)	3	150	2	2	Meta desc too long (>158); Word count below 350
2026-03-14	/learn/medicare-help-low-income	Medicare Help for People on a Fixed Income (2026)	158	Medicare Help for People on a Fixed Income (2026)	2	80	2	5	Word count below 350; Orphan page (no incoming internal links)
2026-03-14	/learn/medicare-parts-explained	Medicare Parts A, B, C, and D Explained Simply (2026)	161	Medicare Parts A, B, C, and D Explained Simply (2026)	0	64	2	4	Meta desc too long (>158); Word count below 350
2026-03-14	/learn/what-is-medigap	What Is Medigap? Medicare Supplement Insurance Explained (2026)	160	What Is Medigap? Medicare Supplement Insurance Explained (2026)	2	180	2	4	Title too long (>60); Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-advantage/new-jersey	Best Medicare Advantage Plans in New Jersey (2026)	170	Best Medicare Advantage Plans in New Jersey (2026)	2	151	2	2	Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-supplement/new-jersey	Best Medicare Supplement Plans in New Jersey (2026)	174	Best Medicare Supplement Plans in New Jersey (2026)	5	355	2	2	Meta desc too long (>158)
2026-03-14	/medicare-supplement/new-jersey/cost	How Much Does Medicare Cost in New Jersey in 2026?	176	How Much Does Medicare Cost in New Jersey in 2026?	2	154	3	5	Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-supplement/new-jersey/plan-g-vs-plan-n	Medigap Plan G vs Plan N in New Jersey (2026): Which Is Better?	173	Medigap Plan G vs Plan N in New Jersey (2026): Which Is Better?	3	301	3	5	Title too long (>60); Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-supplement/new-jersey/turning-65	Turning 65 in New Jersey: Your Medicare Checklist (2026)	171	Turning 65 in New Jersey: Your Complete Medicare Checklist (2026)	2	263	3	5	Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-supplement/new-jersey/vs-medicare-advantage	Medigap vs Medicare Advantage in New Jersey (2026): Which Is Better?	169	Medigap vs Medicare Advantage in New Jersey (2026)	3	123	3	5	Title too long (>60); Meta desc too long (>158); Word count below 350
2026-03-14	/medicare-supplement/pennsylvania	Best Medicare Supplement Plans in Pennsylvania (2026)	165	Best Medicare Supplement Plans in Pennsylvania (2026)	2	310	2	4	Meta desc too long (>158); Word count below 350; Orphan page (no incoming internal links)
2026-03-14	/medicare-supplement/switch-carriers	Switch Medicare Supplement Carriers – Same Plan G, Lower Rate (2026)	150	Switch Medicare Supplement Carriers — Same Plan G, Lower Monthly Rate	7	520	2	6	Title too long (>60)
2026-03-14	/quote	Get a Medicare Quote | MedicareYourself	84		0	4	1	0	Meta desc too short (<120); Missing H1; Word count below 350; No internal links; Missing SchemaMarkup; Missing PhoneCTA
2026-03-14	/	MedicareYourself | Medicare Insurance Broker	129	Medicare Made Simple. Free, Unbiased Guidance.	2	159	0	3	Word count below 350
2026-03-14	/about	About Us | MedicareYourself	115	About MedicareYourself	6	137	1	6	Meta desc too short (<120); Word count below 350
2026-03-14	/hub	Medicare Guides & Resources	123	Medicare Guides and Resources	2	128	1	5	Word count below 350; Missing PhoneCTA
2026-03-14	/learn/how-to-sign-up-for-medicare	How to Sign Up for Medicare (2026 Guide)	132	How and When to Sign Up for Medicare (2026)	3	152	2	2	Word count below 350
